PlayerID,PlayerRole,PlayTimeGMT,Location,CompletionTime,CorrectAnswers,IncorrectAnswers
0001,Player 1,2026-06-27 16:18:52 GMT,Virtual Mic On,329.86,0,0
0002,Player 2,2026-06-27 16:18:52 GMT,Virtual Mic On,328.93,9,1
0001,Player 1,2026-06-27 16:44:40 GMT,Virtual Mic On,86.82,0,0
0002,Player 2,2026-06-27 16:44:40 GMT,Virtual Mic On,83.77,9,6
0001,Player 1,2026-06-27 16:46:12 GMT,Virtual Mic On,44.76,9,0
0002,Player 2,2026-06-27 16:46:12 GMT,Virtual Mic On,41.63,0,0
1,Player 1,2026-06-27 17:01:12 GMT,Virtual Mic On,99.52,0,0
2,Player 2,2026-06-27 17:03:02 GMT,Virtual Mic On,53.32,0,0
2,Player 1,2026-06-27 17:03:02 GMT,Virtual Mic On,59.29,9,0
1,1,Player 1,2026-06-30 01:21:04 GMT,Virtual Mic On,36.00,9,3,"Detik ke-16s (Diamond), Detik ke-27s (Donut), Detik ke-32s (Penta)",69019638-07e1-4e51-b493-c30a3b0a57ad
2,1,Player 2,2026-06-30 01:21:04 GMT,Virtual Mic On,32.01,0,0,"Tidak ada kesalahan",69019638-07e1-4e51-b493-c30a3b0a57ad
4,2,Player 2,2026-06-30 01:23:34 GMT,Virtual Mic On,27.72,9,2,"Detik ke-3s (Plus), Detik ke-7s (Diamond)",fd0524b7-6104-4b5e-a8da-eb89eca9c746
3,2,Player 1,2026-06-30 01:23:34 GMT,Virtual Mic On,28.72,0,0,"Tidak ada kesalahan",fd0524b7-6104-4b5e-a8da-eb89eca9c746
UUUM,12,Player 1,2026-07-14 17:40:01 GMT,Virtual Choose Room-Office,76.34,0,0,"No mistakes",f5bd2f7b-0e37-4d20-a03d-eec773061fa9
G,CHUJ,Player 2,2026-07-28 03:31:08 GMT,Virtual Choose Room-Office,20.89,0,0,"No mistakes",873b445f-a3d6-4eea-8cd3-bad1cbbda568
